NAME,DP02_0001E,state,Year
NAME,Estimate_HOUSEHOLDS_BY_TYPE_Total_households,state,Year
Alabama,2016448,01,2022
Alaska,274574,02,2022
Arizona,2850377,04,2022
Arkansas,1216207,05,2022
California,13550586,06,2022
Colorado,2384584,08,2022
Connecticut,1433635,09,2022
Delaware,402334,10,2022
District of Columbia,326970,11,2022
Florida,8826394,12,2022
Georgia,4092467,13,2022
Hawaii,494827,15,2022
Idaho,717151,16,2022
Illinois,5056360,17,2022
Indiana,2726489,18,2022
Iowa,1330995,19,2022
Kansas,1175294,20,2022
Kentucky,1828680,21,2022
Louisiana,1816902,22,2022
Maine,605338,23,2022
Maryland,2375984,24,2022
Massachusetts,2797776,25,2022
Michigan,4089794,26,2022
Minnesota,2322190,27,2022
Mississippi,1148340,28,2022
Missouri,2521832,29,2022
Montana,464072,30,2022
Nebraska,803157,31,2022
Nevada,1198356,32,2022
New Hampshire,557220,33,2022
New Jersey,3516978,34,2022
New Mexico,848218,35,2022
New York,7774308,36,2022
North Carolina,4299266,37,2022
North Dakota,331481,38,2022
Ohio,4878206,39,2022
Oklahoma,1573180,40,2022
Oregon,1726340,41,2022
Pennsylvania,5294065,42,2022
Rhode Island,446688,44,2022
South Carolina,2136080,45,2022
South Dakota,368300,46,2022
Tennessee,2846684,47,2022
Texas,11087708,48,2022
Utah,1129660,49,2022
Vermont,277090,50,2022
Virginia,3380607,51,2022
Washington,3079953,53,2022
West Virginia,736341,54,2022
Wisconsin,2491121,55,2022
Wyoming,243321,56,2022
Puerto Rico,,72,2022
